dates,stationid,temperature,humidity,pressure,rain,lightavg,lightmax,moisture
08-07-2018,t10,25.46875,82.1875,1036.346875,6.75,5.5,4000.0,0.0
09-07-2018,t10,26.19298,83.14912,1037.604386,1761.75,11.8448,4000.0,5.693
10-07-2018,t10,25.17021,85.34043,1014.677832,652.5,8.7692,4000.0,5.86515
11-07-2018,t10,24.61972,87.68657,1036.857463,963.0,8.8358,4000.0,6.0373
12-07-2018,t10,24.06923,87.64615,1027.830769,254.25,274.6232,4333.0,31.2385
13-07-2018,t10,21.20779,95.94805,1006.924675,339.75,1623.4941,54612.0,62.21925
15-07-2018,t10,23.48571,96.17143,1006.568571,38.25,134.9,4000.0,93.2
18-07-2018,t10,21.79487,98.58974,999.11134155,29.25,659.8889,4000.0,5.7692
19-07-2018,t10,25.09346,88.3271,1014.677832,4.5,2168.3333,6295.0,4.2897
20-07-2018,t10,24.49211,90.43269,1009.657692,112.5,2082.371,5489.0,3.6154
21-07-2018,,23.89076,94.53782,1009.268067,735.75,6359.0779,54612.0,3.7647
22-07-2018,t10,22.5098,99.0,1009.796078,607.5,7163.6962,54612.0,4.0294
23-07-2018,t10,22.904,98.0,1009.8952,560.25,1356.7432,6495.0,3.832
24-07-2018,t10,21.72464,99.0,996.2891304,513.0,831.3889,4000.0,3.0435
25-07-2018,,23.18182,98.9697,1014.677832,493.875,1623.4941,54612.0,3.0
26-07-2018,t10,21.24272,99.0,1009.205825,474.75,589.8983,4000.0,3.0485
27-07-2018,t10,21.62791,99.0,1008.894574,817.875,859.5696,4000.0,3.1228
28-07-2018,t10,20.90511,99.0,1009.1366485,1161.0,944.5432,4000.0,3.1971
29-07-2018,t10,23.66667,97.80142,1009.378723,0.0,1817.5952,5536.0,2.0355
30-07-2018,t10,24.53077,92.9,1008.658462,0.0,1846.3902,4106.0,1.8
31-07-2018,t10,23.40714,98.97857,1007.945714,240.75,1477.2805,5002.0,1.7143
01-08-2018,t10,22.88652,98.68794,1008.977305,398.25,1529.0843,5347.0,1.1915
02-08-2018,t10,20.0,99.0,1009.394444,2.25,0.0,4000.0,1.0
05-08-2018,t10,20.32203,99.0,1009.664407,816.75,172.9355,4000.0,1.0508
06-08-2018,t10,20.0493,99.0,1009.037324,776.25,351.0875,4000.0,1.0
07-08-2018,t10,21.19012,99.0,1010.746809,681.75,547.5802,4000.0,1.0
08-08-2018,t10,22.33094,99.0,1012.125899,441.0,2752.6087,54612.0,1.0
09-08-2018,t10,23.47482,98.97122,1014.832374,274.5,1623.4941,54612.0,1.1655
